user_id,timestamp,resource_id,resource_type,action,source_system,session_duration_sec
USR0454,2025-12-20 12:50:02,API007,api_internal,DELETE,api_internal,1165
USR0253,2026-03-02 09:46:11,DRI005,drive,QUERY,drive,775
USR0456,2026-04-14 17:58:45,EMA006,email_system,LOGIN,email_system,1458
USR0247,2026-03-16 17:01:51,API010,api_internal,WRITE,api_internal,1798
USR0125,2026-05-05 11:24:03,REP002,reporting_tool,WRITE,reporting_tool,2017
USR0360,2026-03-12 18:00:00,EMA002,email_system,EXPORT,email_system,1320
USR0208,2026-03-09 17:29:20,EMA009,email_system,EXPORT,email_system,1916
USR0447,2026-04-25 10:41:59,REP002,reporting_tool,QUERY,reporting_tool,163
USR0070,2026-04-29 18:07:58,DAT009,database,DELETE,database,3339
USR0021,2025-11-06 14:38:11,DAT010,database,READ,database,2556
USR0170,2026-01-12 11:18:35,EMA001,email_system,LOGIN,email_system,1013
USR0049,2025-12-25 08:27:24,DAT010,database,LOGIN,database,2139
USR0047,2025-11-09 12:44:55,DAT004,database,EXPORT,database,3001
USR0244,2025-11-26 13:32:34,VDI008,vdi,READ,vdi,2808
USR0471,2026-04-03 16:49:45,REP001,reporting_tool,DELETE,reporting_tool,2242
USR0020,2026-01-28 10:29:28,REP003,reporting_tool,READ,reporting_tool,480
USR0081,2026-04-15 09:33:58,DAT001,database,EXPORT,database,2478
USR0338,2025-11-27 16:17:36,DRI007,drive,DELETE,drive,2705
USR0113,2025-11-03 12:54:44,DAT003,database,DELETE,database,3189
USR0029,2025-11-25 09:18:25,VDI005,vdi,WRITE,vdi,2455
USR0183,2026-02-02 09:19:06,EMA010,email_system,EXPORT,email_system,1177
USR0200,2026-05-16 15:03:10,EMA008,email_system,READ,email_system,469
USR0020,2026-01-19 13:27:44,DRI001,drive,READ,drive,1082
USR0011,2026-05-02 07:23:40,API009,api_internal,DELETE,api_internal,2167
USR0239,2025-12-18 08:25:25,REP004,reporting_tool,EXPORT,reporting_tool,3218
USR0210,2025-11-26 13:38:05,DAT002,database,QUERY,database,528
USR0487,2026-02-24 17:10:32,DAT003,database,QUERY,database,1548
USR0056,2025-11-08 18:58:29,DAT002,database,READ,database,2984
